"Hash","Subject","Date","Parents"
"daba2ccb910d4be00c31d3d955a9e1db8a904b29","Meow","2026-03-01 13:33:05 +0600",
"eb33a13f4d15f8641b2720a428dbbdf7785601ae","Add global dark theme toggle, responsive nav, and page docs","2026-03-01 14:08:53 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"6213071b41a3d9158b979bf159a30253bf9886c3","Rebuild app into textile trust MVP with Express API","2026-03-01 15:43:59 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"f4b274f97b826ec0cc13a46d139c885425aed899","Merge codex branch: overwrite main with codex changes","2026-03-01 15:57:18 +0600","eb33a13f4d15f8641b2720a428dbbdf7785601ae 6213071b41a3d9158b979bf159a30253bf9886c3"
"c80862db7790e03b5b40bfb72d8a1801a265d2e7","Restore requested page routes and keep MVP backend dashboard","2026-03-01 16:00:45 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"583f6137f72a09abebfdb31291e0994042a3e511","Merge codex/add-dark-theme-and-page-documentation-j22qra: overwrite main with codex changes","2026-03-01 16:10:28 +0600","f4b274f97b826ec0cc13a46d139c885425aed899 c80862db7790e03b5b40bfb72d8a1801a265d2e7"
"795caf8ea364f8ef8f27437619749a24eded5c2d","Implement enterprise behavioral architecture modules for GarTexHub MVP","2026-03-01 16:45:56 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"f391d0dc972eb4f54d5bdc247a159a37ef29045d","Merge codex/add-dark-theme-and-page-documentation-tvmvyf: override main with codex changes","2026-03-01 16:55:11 +0600","583f6137f72a09abebfdb31291e0994042a3e511 795caf8ea364f8ef8f27437619749a24eded5c2d"
"67d698fed37f486c705bc9703470b5e4687025f3","Set up Electron app runner with backend boot sequence","2026-03-01 17:09:51 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"5aa7226901a053c6c264dd7f5574b0a75597fc93","Merge codex/add-dark-theme-and-page-documentation-w1bhvg: override main with codex changes","2026-03-01 17:27:03 +0600","f391d0dc972eb4f54d5bdc247a159a37ef29045d 67d698fed37f486c705bc9703470b5e4687025f3"
"b62d70b824df43fe7d0f6731c369c8f0d8c4e09e","Fix Electron asset loading and add CSP for desktop runtime","2026-03-01 17:51:33 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"3f63c0f908f813274d1d5b8564b874d7ebaed4e0","Merge codex/add-dark-theme-and-page-documentation-w1bhvg: override main with codex changes","2026-03-01 18:05:41 +0600","5aa7226901a053c6c264dd7f5574b0a75597fc93 b62d70b824df43fe7d0f6731c369c8f0d8c4e09e"
"020952ff33af20d10d829390401239c1fff5af0d","Use shared global navbar and add 3D dark styling across pages","2026-03-01 19:25:48 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"cf1a386ffce1116896afbfebdd0a5db046427958","Polish global 3D styling across all UI elements","2026-03-01 19:59:01 +0600","020952ff33af20d10d829390401239c1fff5af0d"
"75e2331c11976c7c581666964378f066d671e16f","Merge codex/add-dark-theme-and-page-documentation-b695i2: override main with codex changes","2026-03-01 22:48:56 +0600","3f63c0f908f813274d1d5b8564b874d7ebaed4e0 cf1a386ffce1116896afbfebdd0a5db046427958"
"2dc4c0ab6d4bfbe5843924a73b5dea39446a2a67","Apply cyberpunk purple neon styling manually across every page","2026-03-02 00:31:27 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"5de61037bb448a134286284b069a6c3393706c13","Merge codex/add-dark-theme-and-page-documentation-b695i2: override main with codex changes","2026-03-02 00:38:59 +0600","75e2331c11976c7c581666964378f066d671e16f 2dc4c0ab6d4bfbe5843924a73b5dea39446a2a67"
"e5cca345d3120ff5899e47a2881247b53745800c","Wire feed and search pages to live API data","2026-03-02 01:32:44 +0600","5de61037bb448a134286284b069a6c3393706c13"
"08fc4087e3a1e78db88c4176f0b20e15bc0f5acd","Merge pull request #9 from gamertoky1188gro/codex/integrate-api-data-in-mainfeed-and-searchresults","2026-03-02 06:03:17 +0600","5de61037bb448a134286284b069a6c3393706c13 e5cca345d3120ff5899e47a2881247b53745800c"
"6fffdefc55a436cae3681bdc864a662d568cabbb","Add smart notifications, social interactions, and access matrix","2026-03-02 06:55:59 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"263f79b7e5c242cea34e02ec2ea5681115556506","Merge codex/add-dark-theme-and-page-documentation-b695i2: override main with codex changes","2026-03-02 07:16:13 +0600","08fc4087e3a1e78db88c4176f0b20e15bc0f5acd 6fffdefc55a436cae3681bdc864a662d568cabbb"
"56ae511630b8400b958619811c219547500aec93","Apply requested feed/search API wiring and action endpoints","2026-03-02 08:03:00 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"e8335d0c1326da01a5745c01f49caeed5f037fe7","Merge codex/add-dark-theme-and-page-documentation-2p6dxa into main ??? override with codex version","2026-03-02 08:09:40 +0600","263f79b7e5c242cea34e02ec2ea5681115556506 56ae511630b8400b958619811c219547500aec93"
"8e1c5ebe39b3e5a56c5ac25f9462363cf78ccfae","Add token-based current-user endpoint and secure feed user loading","2026-03-02 11:03:33 +0600","daba2ccb910d4be00c31d3d955a9e1db8a904b29"
"2fc615e8da373eb81705352024cf628b6f1a8da2","Merge codex/add-dark-theme-and-page-documentation-m8vmip: override main with codex changes","2026-03-02 11:06:30 +0600","e8335d0c1326da01a5745c01f49caeed5f037fe7 8e1c5ebe39b3e5a56c5ac25f9462363cf78ccfae"
"d21040582c1218fde5d107f3a890e7632539c9cd","Enhance verification requirements with buyer regions and credibility","2026-03-03 05:55:54 +0600","2fc615e8da373eb81705352024cf628b6f1a8da2"
"059c7540ef956c0314ab9b470a519928c0d182d0","Merge ccm/update-verification-service-for-buyer-roles_2026-03-02_23-55-51: override main with codex changes","2026-03-03 06:00:41 +0600","d21040582c1218fde5d107f3a890e7632539c9cd"
"456b2c7973e4d6db7245f48914c97d2f141b71ad","Add subscription renewal and verification status flows","2026-03-03 07:05:44 +0600","059c7540ef956c0314ab9b470a519928c0d182d0"
"8c8b372c9fd10cfb9e1d7394ac0c8ddaf43b23cf","Add message inbox API mount and request triage UI","2026-03-03 07:27:59 +0600","456b2c7973e4d6db7245f48914c97d2f141b71ad"
"382e51acbeb50d0150c2a2946ecbdc98ac52566d","Connect dashboards to live analytics and subscription data","2026-03-03 07:36:06 +0600","456b2c7973e4d6db7245f48914c97d2f141b71ad"
"64fe389dd1128a313b209df43f50a074445dac7e","Merge branch 'ccm/connect-dashboards-to-analytics-api_2026-03-03_01-35-57' ccm/connect-dashboards-to-analytics-api_2026-03-03_01-35-57","2026-03-03 07:39:44 +0600","8c8b372c9fd10cfb9e1d7394ac0c8ddaf43b23cf 382e51acbeb50d0150c2a2946ecbdc98ac52566d"
"5622d6d1af110761f1329d2dd901f2b3b06b24c9","Add partner network request APIs and filtered UI workflow","2026-03-03 07:54:51 +0600","64fe389dd1128a313b209df43f50a074445dac7e"
"c60086fc0cab2c88e7587a304f0d9af89b792b35","Add call session APIs and persist chat scheduling","2026-03-03 08:07:59 +0600","5622d6d1af110761f1329d2dd901f2b3b06b24c9"
"441bffe60e1ac99d9f8ac5a68ec30070a3ebcd5c","Add contract lifecycle and signature/artifact support","2026-03-03 08:32:41 +0600","c60086fc0cab2c88e7587a304f0d9af89b792b35"
"fca8ac1e8e18684edaac095e5c8af9d97dfeeee7","Add video gallery moderation states and hide unapproved media","2026-03-03 08:44:16 +0600","441bffe60e1ac99d9f8ac5a68ec30070a3ebcd5c"
"6f4f92da1597da026aa014f6c11bf960a264a863","Add persisted message request state and moderation APIs","2026-03-03 09:13:00 +0600","fca8ac1e8e18684edaac095e5c8af9d97dfeeee7"
"9d6938861afe5dd6a67380e75ecc1fd32de355f4","Merge pull request #21 from gamertoky1188gro/ccm/add-request-state-model-and-api-endpoints_2026-03-03_03-12-56","2026-03-03 09:13:35 +0600","fca8ac1e8e18684edaac095e5c8af9d97dfeeee7 6f4f92da1597da026aa014f6c11bf960a264a863"
"97a0a703c18792249cbce7e7e803760d3aca2e04","Harden role permissions for agent and owner/admin flows","2026-03-03 09:25:46 +0600","9d6938861afe5dd6a67380e75ecc1fd32de355f4"
"8f8157c592ad49e10b90753008c6b0167b84f26e","Merge pull request #22 from gamertoky1188gro/ccm/update-role-checks-and-access-responses_2026-03-03_03-25-43","2026-03-03 09:26:15 +0600","9d6938861afe5dd6a67380e75ecc1fd32de355f4 97a0a703c18792249cbce7e7e803760d3aca2e04"
"067bc5333fd7cb123b7e26d201e6bbb0847159a2","Add org member management APIs and wire frontend page","2026-03-03 09:34:28 +0600","8f8157c592ad49e10b90753008c6b0167b84f26e"
"d647203b85f1ff614d513eb3cdc79a102a63952e","Merge pull request #23 from gamertoky1188gro/ccm/create-backend-endpoints-for-member-management_2026-03-03_03-34-25","2026-03-03 09:35:03 +0600","8f8157c592ad49e10b90753008c6b0167b84f26e 067bc5333fd7cb123b7e26d201e6bbb0847159a2"
"d056c9d50b51e39958af91fc3268e58ff6d53446","Add org-scoped assistant knowledge and FAQ management UI","2026-03-03 09:45:24 +0600","d647203b85f1ff614d513eb3cdc79a102a63952e"
"d842bf2e094fc9c303619d165b6fe5c7e4a60c0d","Merge pull request #24 from gamertoky1188gro/ccm/add-faq-management-and-matching-logic_2026-03-03_03-45-20","2026-03-03 09:45:59 +0600","d647203b85f1ff614d513eb3cdc79a102a63952e d056c9d50b51e39958af91fc3268e58ff6d53446"
"0c5bcb0d7bf0148af71d9698d6dea15954bdc3e1","Add role-aware verification center with document status tracking","2026-03-03 09:56:44 +0600","d842bf2e094fc9c303619d165b6fe5c7e4a60c0d"
"81e33d426958b1c5cd8e67350d2edca1a789d298","Merge pull request #25 from gamertoky1188gro/ccm/add-verification-page-with-document-status_2026-03-03_03-56-41","2026-03-03 09:57:08 +0600","d842bf2e094fc9c303619d165b6fe5c7e4a60c0d 0c5bcb0d7bf0148af71d9698d6dea15954bdc3e1"
"939d90dfe102e6118039145814e70f3eb59f09aa","Add plan-based search limits, premium filter gating, and quota UX","2026-03-03 10:20:55 +0600","81e33d426958b1c5cd8e67350d2edca1a789d298"
"a579a7a752b369bb68cd34b9808f6c3b92a4547b","Merge pull request #26 from gamertoky1188gro/ccm/implement-search-filter-limits-and-tracking_2026-03-03_04-20-51","2026-03-03 10:21:21 +0600","81e33d426958b1c5cd8e67350d2edca1a789d298 939d90dfe102e6118039145814e70f3eb59f09aa"
"7d9353b3bae7dffc82c53c344b813b1db45087c3","Add API-backed ratings with milestone-triggered feedback","2026-03-03 10:37:39 +0600","a579a7a752b369bb68cd34b9808f6c3b92a4547b"
"fc607130169eb6425958d2f2b604a98d70dfcd4c","Merge pull request #27 from gamertoky1188gro/ccm/add-ratings-data-model-and-apis_2026-03-03_04-37-36","2026-03-03 10:38:05 +0600","a579a7a752b369bb68cd34b9808f6c3b92a4547b 7d9353b3bae7dffc82c53c344b813b1db45087c3"
"92d1c8f437a0cf6a1e991c632e2b13e74ef0eebf","Add account-age boost ranking with abuse safeguards","2026-03-03 10:50:51 +0600","fc607130169eb6425958d2f2b604a98d70dfcd4c"
"5ddb592bcc06b141caf23c2986cb1bb5b0cc3fb2","Merge pull request #28 from gamertoky1188gro/ccm/add-account-age-boost-multiplier-and-checks_2026-03-03_04-50-48","2026-03-03 10:51:16 +0600","fc607130169eb6425958d2f2b604a98d70dfcd4c 92d1c8f437a0cf6a1e991c632e2b13e74ef0eebf"
"090c33b9e7a809a0ddf3e2640fd01898497ed36f","Add step-based contract workflow in Contract Vault","2026-03-03 10:59:32 +0600","5ddb592bcc06b141caf23c2986cb1bb5b0cc3fb2"
"2d2763a1a1d874ce9791deb1fed2dc3e37c9c460","Merge pull request #29 from gamertoky1188gro/ccm/add-step-based-contract-flow-in-contractvault_2026-03-03_04-59-29","2026-03-03 11:00:15 +0600","5ddb592bcc06b141caf23c2986cb1bb5b0cc3fb2 090c33b9e7a809a0ddf3e2640fd01898497ed36f"
"096f9c2f5c30a31ae216414be265fa83e001953e","Add EU country mapping and buyer region-country validation","2026-03-03 11:05:14 +0600","2d2763a1a1d874ce9791deb1fed2dc3e37c9c460"
"4699db468a46aca8f55a3aec66dfa13909c94074","Merge pull request #30 from gamertoky1188gro/ccm/implement-eu-country-selection-and-validation_2026-03-03_05-05-11","2026-03-03 11:05:36 +0600","2d2763a1a1d874ce9791deb1fed2dc3e37c9c460 096f9c2f5c30a31ae216414be265fa83e001953e"
"b82a0834c26227e4ac03e3521129332a9237f2a8","Merge  ccm/add-video-gallery-section-and-moderation-flags_2026-03-03_02-44-12: override main with codex changes","2026-03-03 11:07:05 +0600","4699db468a46aca8f55a3aec66dfa13909c94074"
"14bc4e7f12fd421b05feb9de4b47ce0681f498a5","Persist message request state in inbox routing","2026-03-03 11:31:13 +0600","b82a0834c26227e4ac03e3521129332a9237f2a8"
"ee69f9f8f0153801f6304cfd36b719ce0df38bf6","Merge pull request #31 from gamertoky1188gro/ccm/add-message-request-management-features_2026-03-03_05-31-09","2026-03-03 11:32:17 +0600","b82a0834c26227e4ac03e3521129332a9237f2a8 14bc4e7f12fd421b05feb9de4b47ce0681f498a5"
"1ad2bc62929e0c0947cde009d1014ab6d5e3fbcf","Harden role permissions and surface access-denied states","2026-03-03 11:41:13 +0600","ee69f9f8f0153801f6304cfd36b719ce0df38bf6"
"daa05c1b1aca8ff9eac7258b97f1a524fb704774","Merge pull request #32 from gamertoky1188gro/ccm/update-route-guards-and-permissions_2026-03-03_05-41-07","2026-03-03 11:41:50 +0600","ee69f9f8f0153801f6304cfd36b719ce0df38bf6 1ad2bc62929e0c0947cde009d1014ab6d5e3fbcf"
"36827990fc4f1ec29efbfcb411fffcdf4c002587","Add org member management APIs and permission matrix support","2026-03-03 11:53:43 +0600","daa05c1b1aca8ff9eac7258b97f1a524fb704774"
"b93472398dcd1bda2c939be24922315b758b4d7e","Merge pull request #33 from gamertoky1188gro/ccm/create-member-apis-and-implement-features_2026-03-03_05-53-39","2026-03-03 11:54:06 +0600","daa05c1b1aca8ff9eac7258b97f1a524fb704774 36827990fc4f1ec29efbfcb411fffcdf4c002587"
"255a25c25d0ea3bbef96c245038ede532953c961","Add company knowledge matching and FAQ management UI","2026-03-03 12:04:40 +0600","b93472398dcd1bda2c939be24922315b758b4d7e"
